Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/current-time,281,0,5400.0,11766.781221697527,1259.502741000233,37857.115798999985,19.0,1.937184801133189,0.0,5400,8500,19000,20000,34000,36000,36000,36000,38000,38000,38000
POST,/picture/invert,320,162,38000.0,42808.08060486878,1.7645630000515666,113619.97428999984,9498.06875,2.206046748621425,1.1168111664895966,38000,43000,48000,56000,77000,100000,102000,110000,114000,114000,114000
GET,/prime/-1,426,0,5100.0,7519.486602291091,1091.5030050000496,36287.48954399998,30.0,2.936799734102272,0.0,5200,5900,7000,9200,19000,20000,34000,35000,36000,36000,36000
GET,/prime/-2,451,3,4900.0,6394.924330678471,2.8592980002031254,35961.34417599978,29.800443458980045,3.109147136338321,0.02068168826832586,4900,5400,6300,7300,9800,19000,32000,35000,36000,36000,36000
GET,/prime/0,405,0,5200.0,8536.999214202464,1088.9373250001881,34756.33497399985,29.0,2.792027916223991,0.0,5200,5800,9200,17000,20000,21000,22000,35000,35000,35000,35000
GET,/prime/1,368,0,5500.0,9204.965379747293,1091.9872489998852,34665.993509000145,29.0,2.536953760914639,0.0,5500,6600,15000,18000,20000,22000,34000,35000,35000,35000,35000
GET,/prime/2,326,0,5600.0,9804.138714199395,2876.6029859998525,34771.76612000039,28.0,2.2474101251580767,0.0,5600,8600,15000,17000,20000,22000,35000,35000,35000,35000,35000
GET,/prime/3,288,0,5600.0,10786.769905913174,1091.6169719998834,34790.07400199998,28.0,1.9854420737592826,0.0,5800,15000,17000,19000,21000,34000,35000,35000,35000,35000,35000
GET,/prime/4,253,0,5800.0,10982.993185134394,1090.8879120001984,34801.52300700001,29.0,1.7441557106288141,0.0,5800,13000,17000,18000,21000,35000,35000,35000,35000,35000,35000
GET,/prime/531137992816767098689588206552468627329593117727031923199444138200403559860852242739162502265229285668889329486246501015346579337652707239409519978766587351943831270835393219031728127,212,0,5900.0,11756.997895693392,3887.0983259998866,34871.34283299974,210.0,1.4615059709616942,0.0,5900,13000,17000,19000,34000,35000,35000,35000,35000,35000,35000
POST,/token,447,149,26000.0,26038.713720051474,1.887746999727824,48427.40723299994,194.1387024608501,3.081571551980553,1.027190517326851,26000,32000,38000,41000,43000,47000,48000,48000,48000,48000,48000
,Aggregated,3777,314,6000.0,14072.173746462004,1.7645630000515666,113619.97428999984,860.2560232989144,26.03824552982226,2.1646833720847733,6000,15000,19000,21000,35000,42000,48000,75000,110000,114000,114000
